Country,Parent,Capacity (GW),Type
Others,0.758354,Panama,Utility-Scale Solar
Others,0.2903,Panama,Wind
Others,0.0045,Papua New Guinea,Bioenergy
Others,0.03,Papua New Guinea,Geothermal
Others,0.224,Papua New Guinea,Hydropower
Others,0.189,Papua New Guinea,Oil/Gas
Others,0.00087,Papua New Guinea,Utility-Scale Solar
Others,0.21,Paraguay,Hydropower
Others,0.004305,Paraguay,Utility-Scale Solar
Others,0.137,Peru,Bioenergy
Others,5.934,Peru,Hydropower
Others,7.047,Peru,Oil/Gas
Others,1.0294845000000001,Peru,Utility-Scale Solar
Others,1.4479000000000002,Peru,Wind
Others,0.53379,Philippines,Bioenergy
Others,12.4324,Philippines,Coal
Others,1.941,Philippines,Geothermal
Others,3.4925,Philippines,Hydropower
Others,6.7743152,Philippines,Oil/Gas
Others,3.380523,Philippines,Utility-Scale Solar
Others,0.592,Philippines,Wind
Others,0.754,Poland,Bioenergy
Others,27.262,Poland,Coal
Others,2.101,Poland,Hydropower
Others,5.212,Poland,Oil/Gas
Others,8.273048500000002,Poland,Utility-Scale Solar
Others,8.9625,Poland,Wind
Others,0.46029000000000003,Portugal,Bioenergy
Others,0.024,Portugal,Geothermal
Others,7.783,Portugal,Hydropower
Others,4.6515,Portugal,Oil/Gas
Others,3.1206115,Portugal,Utility-Scale Solar
Others,5.7645,Portugal,Wind
Others,0.034,Puerto Rico,Hydropower
Others,5.114,Puerto Rico,Oil/Gas
Others,0.18409999999999999,Puerto Rico,Utility-Scale Solar
Others,0.127,Puerto Rico,Wind
Others,0.05,Qatar,Bioenergy
Others,11.661036,Qatar,Oil/Gas
Others,1.47425,Qatar,Utility-Scale Solar
Others,0.006,Republic of the Congo,Bioenergy
Others,0.194,Republic of the Congo,Hydropower
Others,0.534,Republic of the Congo,Oil/Gas
Others,0.03,Romania,Bioenergy
Others,2.1802,Romania,Coal
