Country,Type,Age Category,Capacity (MW),Capacity %
BRICS,Nuclear,40-49 years,11.284,0.2673571784515804
BRICS,Nuclear,50+ years,1.309,0.031014759535015844
BRICS,Bioenergy,0-9 years,36.426300000000005,0.8630656495419005
BRICS,Bioenergy,10-19 years,15.4024,0.3649363882827563
BRICS,Bioenergy,20-29 years,3.3775999999999997,0.0800270831210615
BRICS,Bioenergy,30-39 years,1.0205,0.02417919183001044
BRICS,Bioenergy,40-49 years,0.706,0.01672759375990923
BRICS,Bioenergy,50+ years,0.5287000000000001,0.012526740539467437
BRICS,Geothermal,0-9 years,1.0995,0.02605097640087847
BRICS,Geothermal,10-19 years,0.57845,0.013705490949602687
BRICS,Geothermal,20-29 years,0.52895,0.01253266390836259
BRICS,Geothermal,30-39 years,0.275,0.006515705784667194
BRICS,Geothermal,40-49 years,0.03,0.0007108042674182393
BRICS,Geothermal,50+ years,0.012,0.0002843217069672957
Bahamas,Oil and gas,0-9 years,0.1943,77.7822257806245
Bahamas,Oil and gas,10-19 years,0.052,20.816653322658127
Bahamas,Oil and gas,20-29 years,0.0,0.0
Bahamas,Oil and gas,30-39 years,0.0,0.0
Bahamas,Oil and gas,40-49 years,0.0,0.0
Bahamas,Oil and gas,50+ years,0.0,0.0
Bahamas,Utility-scale solar,0-9 years,0.0035,1.4011208967173738
Bahamas,Utility-scale solar,10-19 years,0.0,0.0
Bahamas,Utility-scale solar,20-29 years,0.0,0.0
Bahamas,Utility-scale solar,30-39 years,0.0,0.0
Bahamas,Utility-scale solar,40-49 years,0.0,0.0
Bahamas,Utility-scale solar,50+ years,0.0,0.0
Bahrain,Oil and gas,0-9 years,3.9728999999999997,42.749233335126696
Bahrain,Oil and gas,10-19 years,2.168,23.328132565771774
Bahrain,Oil and gas,20-29 years,1.647,17.722063808037877
Bahrain,Oil and gas,30-39 years,0.794,8.54360574595147
Bahrain,Oil and gas,40-49 years,0.7,7.532146123634799
Bahrain,Oil and gas,50+ years,0.0,0.0
Bahrain,Utility-scale solar,0-9 years,0.0075,0.08070156561037284
Bahrain,Utility-scale solar,10-19 years,0.0040999999999999995,0.04411685586700381
