Country,Status,Non-fossil (GW),Fossil (GW),Non-fossil share (%),Fossil share (%)
Guinea-Bissau,Pre-construction,0.0,0.0,0.0,0.0
Guinea-Bissau,Construction,0.0,0.0,0.0,0.0
Guinea-Bissau,Operating,0.009026683937823833,0.0,100.0,0.0
Guyana,Announced,0.017955185185185185,0.3,5.647080476051249,94.35291952394876
Guyana,Pre-construction,0.2131008888888889,0.0,100.0,0.0
Guyana,Construction,0.00696,0.3,2.2673964034401877,97.73260359655981
Guyana,Operating,0.03500768518518518,0.072,32.71511305435833,67.28488694564166
Haiti,Announced,0.032,0.0,100.0,0.0
Haiti,Pre-construction,0.0,0.0,0.0,0.0
Haiti,Construction,0.011508888888888888,0.0,100.0,0.0
Haiti,Operating,0.0,0.0,0.0,0.0
Honduras,Announced,0.3327987037037037,0.0,100.0,0.0
Honduras,Pre-construction,0.828,0.0,100.0,0.0
Honduras,Construction,0.2,0.07,74.07407407407408,25.925925925925924
Honduras,Operating,1.7727970740740742,1.2448,58.748634445108706,41.25136555489129
Hong Kong,Announced,0.4,0.0,100.0,0.0
Hong Kong,Pre-construction,0.0,0.13,0.0,100.0
Hong Kong,Construction,0.18,0.77,18.947368421052634,81.05263157894737
Hong Kong,Operating,0.0009170759101471727,10.2055,0.008985287425806997,99.9910147125742
Hungary,Announced,0.29012,0.0,100.0,0.0
Hungary,Pre-construction,2.66137,1.0,72.68781904041384,27.31218095958617
Hungary,Construction,0.1177236051502146,0.54,17.898643781125692,82.1013562188743
Hungary,Operating,6.447665051502145,3.9085,62.25919555585803,37.74080444414198
Iceland,Announced,0.35,0.0,100.0,0.0
Iceland,Pre-construction,0.2632,0.0,100.0,0.0
Iceland,Construction,0.138,0.0,100.0,0.0
Iceland,Operating,2.7674000000000003,0.0,100.0,0.0
India,Announced,162.06589729090908,42.86,79.0851226874675,20.914877312532504
India,Pre-construction,98.06170105227272,55.28,63.94979342171535,36.05020657828465
India,Construction,155.4324542272727,40.53,79.31746662399203,20.68253337600796
India,Operating,196.37456679090909,282.6344,40.996010597986995,59.00398940201301
Indonesia,Announced,13.791222461059188,21.802,38.7467655566941,61.25323444330591
Indonesia,Pre-construction,15.45180031152648,6.565,70.18186154614384,29.818138453856157
Indonesia,Construction,4.911,6.69,42.33255753814326,57.667442461856744
Indonesia,Operating,12.09576015576324,85.828,12.352221908679791,87.6477780913202
