Country,Type,Age Category,Capacity (MW),Capacity %
Barbados,Utility-scale solar,30-39 years,0.0,0.0
Barbados,Utility-scale solar,40-49 years,0.0,0.0
Barbados,Utility-scale solar,50+ years,0.0,0.0
Barbados,Wind,0-9 years,0.001,0.7569392404871662
Barbados,Wind,10-19 years,0.0,0.0
Barbados,Wind,20-29 years,0.0,0.0
Barbados,Wind,30-39 years,0.0,0.0
Barbados,Wind,40-49 years,0.0,0.0
Barbados,Wind,50+ years,0.0,0.0
Belarus,Oil and gas,0-9 years,1.1812,10.00032880250564
Belarus,Oil and gas,10-19 years,2.036,17.23727517939509
Belarus,Oil and gas,20-29 years,2.072,17.542060005749818
Belarus,Oil and gas,30-39 years,0.664,5.621586797209401
Belarus,Oil and gas,40-49 years,1.3,11.006118729476237
Belarus,Oil and gas,50+ years,1.91,16.170528287153548
Belarus,Utility-scale solar,0-9 years,0.25514414375,2.16011287634081
Belarus,Utility-scale solar,10-19 years,0.005267487499999999,0.044595840639255355
Belarus,Utility-scale solar,20-29 years,0.0,0.0
Belarus,Utility-scale solar,30-39 years,0.0,0.0
Belarus,Utility-scale solar,40-49 years,0.0,0.0
Belarus,Utility-scale solar,50+ years,0.0,0.0
Belarus,Nuclear,0-9 years,2.388,20.217393481530195
Belarus,Nuclear,10-19 years,0.0,0.0
Belarus,Nuclear,20-29 years,0.0,0.0
Belarus,Nuclear,30-39 years,0.0,0.0
Belarus,Nuclear,40-49 years,0.0,0.0
Belarus,Nuclear,50+ years,0.0,0.0
Belgium,Oil and gas,0-9 years,0.0238,0.16438660829330437
Belgium,Oil and gas,10-19 years,2.224,15.361168774970965
Belgium,Oil and gas,20-29 years,1.7822,12.309656021022146
Belgium,Oil and gas,30-39 years,0.993,6.858651346018959
Belgium,Oil and gas,40-49 years,0.05,0.3453500174229084
Belgium,Oil and gas,50+ years,0.0,0.0
Belgium,Utility-scale solar,0-9 years,0.141723,0.9788808103845368
Belgium,Utility-scale solar,10-19 years,0.052842,0.36497971241322646
Belgium,Utility-scale solar,20-29 years,0.0,0.0
Belgium,Utility-scale solar,30-39 years,0.0,0.0
Belgium,Utility-scale solar,40-49 years,0.0,0.0
Belgium,Utility-scale solar,50+ years,0.0,0.0
Belgium,Wind,0-9 years,2.268,15.665076790303123
Belgium,Wind,10-19 years,1.267,8.751169441496497
Belgium,Wind,20-29 years,0.025,0.1726750087114542
Belgium,Wind,30-39 years,0.0,0.0
Belgium,Wind,40-49 years,0.0,0.0
Belgium,Wind,50+ years,0.0,0.0
Belgium,Hydropower,0-9 years,0.0,0.0
Belgium,Hydropower,10-19 years,0.0,0.0
Belgium,Hydropower,20-29 years,0.0,0.0
Belgium,Hydropower,30-39 years,0.0,0.0
Belgium,Hydropower,40-49 years,0.144,0.9946080501779762
Belgium,Hydropower,50+ years,1.164,8.039748405605307
Belgium,Nuclear,0-9 years,0.0,0.0
